Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
20241013_trial-3_59215_M,45659.61054,,1802.467,Media file(s),M,0,1828.3,30,59215,Middle,Position,START,3.1,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_M.mp4,93,,
20241013_trial-3_59215_M,45659.61054,,1802.467,Media file(s),M,0,1828.3,30,59215,Left,Position,START,4.867,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_M.mp4,146,,
20241013_trial-3_59215_M,45659.61054,,1802.467,Media file(s),M,0,1828.3,30,59215,Middle,Position,STOP,4.867,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_M.mp4,146,,
20241013_trial-3_59215_L,45673.47641,,1802.534,Media file(s),L,0,1827.967,30,59215,Left,Position,STOP,5.734,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4,168,,
20241013_trial-3_59215_L,45673.47641,,1802.534,Media file(s),L,0,1827.967,30,59215,Left cage,Position,START,5.734,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4,168,,
20241013_trial-3_59215_L,45673.47641,,1802.534,Media file(s),L,0,1827.967,30,59215,Left,Position,START,6.934,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4,204,,
20241013_trial-3_59215_L,45673.47641,,1802.534,Media file(s),L,0,1827.967,30,59215,Left cage,Position,STOP,6.934,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4,204,,
20241013_trial-3_59215_M,45659.61054,,1802.467,Media file(s),M,0,1828.3,30,59215,Left,Position,STOP,8.533,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_M.mp4,256,,
20241013_trial-3_59215_M,45659.61054,,1802.467,Media file(s),M,0,1828.3,30,59215,Middle,Position,START,8.533,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_M.mp4,256,,
20241013_trial-3_59215_M,45659.61054,,1802.467,Media file(s),M,0,1828.3,30,59215,Middle,Position,STOP,10.033,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_M.mp4,301,,
20241013_trial-3_59215_M,45659.61054,,1802.467,Media file(s),M,0,1828.3,30,59215,Right,Position,START,10.033,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_M.mp4,301,,
20241013_trial-3_59215_R,45673.47683,,1323.167,Media file(s),R,0,1825.633,30,59215,Right,Position,STOP,11.267,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_R.mp4,338,,
