Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	START		POINT	4.733	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	142	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Left cage	Position	START	27.867	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	836	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Left cage	Position	STOP	28.267	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	848	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Left cage	Position	START	28.400	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	852	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Left cage	Position	STOP	29.567	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	887	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Left cage	Position	START	37.467	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	1124	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Sniffing	Response	POINT	37.467	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	1124	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Left cage	Position	STOP	38.800	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	1164	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Left cage	Position	START	38.933	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	1168	NA	
20250216_trial-16_CL5-5_L	2025-05-09 09:59:15.598		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	0.0	1817.133	30.000	20241226 CL5-5 Ak M	Sniffing	Response	POINT	39.500	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250216_trial-16_CL5-5/20250216_trial-16_CL5-5_L.mp4	1185	NA	
