Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	START	19.400	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	582	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	START		POINT	19.400	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	582	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	STOP	28.533	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	856	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	START	208.200	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6246	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	STOP	208.367	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6251	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	START	208.600	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6258	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	STOP	208.633	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6259	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	START	210.200	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6306	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	STOP	211.533	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6346	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	START	211.733	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6352	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	STOP	212.700	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6381	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	START	213.033	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6391	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	STOP	213.100	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6393	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	START	213.367	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6401	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	214.500	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6435	NA	
20250217_trial-18_CL3-20_R	2025-05-09 10:04:07.229		1802.967	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	0.0	1832.500	30.000	20241225 CL3-20 Ak F	Right cage	Position	STOP	217.700	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_R.mp4	6531	NA	
