Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	START		POINT	10.400	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	312	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Left cage	Position	START	166.900	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5007	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Left cage	Position	STOP	167.100	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5013	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Left cage	Position	START	168.067	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5042	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Left cage	Position	STOP	170.167	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5105	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Left cage	Position	START	170.600	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5118	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Sniffing	Response	POINT	173.833	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5215	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Left cage	Position	STOP	174.033	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5221	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Left cage	Position	START	174.167	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5225	NA	
20250219_trial-19_CL3-8-2_L	2025-05-09 10:04:30.543		1802.167	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	0.0	1817.433	30.000	20241225 CL3-8-2 Ak M	Sniffing	Response	POINT	177.967	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_L.mp4	5339	NA	
