Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Foraging	Response	POINT	10.967	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	329	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Right cage	Position	START	10.967	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	329	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	START		POINT	10.967	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	329	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Foraging	Response	POINT	70.967	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	2129	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Right cage	Position	STOP	165.100	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	4953	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Right cage	Position	START	309.167	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	9275	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Right cage	Position	STOP	309.433	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	9283	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Right cage	Position	START	309.567	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	9287	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Right cage	Position	STOP	309.667	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	9290	NA	
20250219_trial-19_CL3-8-2_R	2025-05-09 10:04:55.032		1803.700	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	0.0	1818.567	30.000	20241225 CL3-8-2 Ak M	Right cage	Position	START	309.733	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250219_trial-19_CL3-8-2/20250219_trial-19_CL3-8-2_R.mp4	9292	NA	
