Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	START		POINT	3.033	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	91	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	START	5.600	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	168	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	STOP	6.800	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	204	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	START	17.567	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	527	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Sniffing	Response	POINT	17.567	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	527	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Sniffing	Response	POINT	18.533	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	556	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Foraging	Response	POINT	25.600	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	768	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Sniffing	Response	POINT	31.067	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	932	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	STOP	34.600	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	1038	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	START	73.233	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	2197	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	STOP	73.400	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	2202	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	START	73.833	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	2215	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Foraging	Response	POINT	75.767	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	2273	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Sniffing	Response	POINT	78.867	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	2366	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	STOP	86.233	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	2587	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	START	102.467	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3074	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Sniffing	Response	POINT	102.467	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3074	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	STOP	102.600	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3078	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	START	102.667	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3080	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Sniffing	Response	POINT	102.667	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3080	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	STOP	102.833	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3085	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	START	103.433	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3103	NA	
20241013_trial-3_59215_L	2025-01-16 11:26:01.702		1802.534	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	0.0	1827.967	30.000	59215	Left cage	Position	STOP	105.467	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241013_trial-3_59215/20241013_trial-3_59215_L.mp4	3164	NA	
