Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	START		POINT	19.867	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	596	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Right cage	Position	START	278.633	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8359	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Right cage	Position	STOP	278.833	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8365	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Right cage	Position	START	279.167	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8375	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Right cage	Position	STOP	279.333	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8380	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Right cage	Position	START	279.700	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8391	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Right cage	Position	STOP	279.867	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8396	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Right cage	Position	START	280.033	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8401	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Sniffing	Response	POINT	287.167	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8615	NA	
20241017_trial-5_12693_R	2025-01-16 11:31:10.453		1799.000	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	0.0	1833.400	30.000	12693	Sniffing	Response	POINT	289.933	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241017_trial-5_12693/20241017_trial-5_12693_R.mp4	8698	NA	
