Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	START		POINT	4.400	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	132	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Left cage	Position	START	244.533	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	7336	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Sniffing	Response	POINT	244.533	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	7336	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Left cage	Position	STOP	246.367	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	7391	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Left cage	Position	START	246.933	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	7408	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Sniffing	Response	POINT	259.933	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	7798	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Left cage	Position	STOP	285.033	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	8551	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Left cage	Position	START	286.100	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	8583	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Left cage	Position	STOP	299.700	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	8991	NA	
20241024_trial-7_yellow_L	2025-01-20 09:32:13.498		1802.633	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	0.0	1848.167	30.000	20240330-59045-59028 baby 3 yellow	Left cage	Position	START	319.400	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241024_trial-7_yellow/1024_trial-7_yellow_L.mp4	9582	NA	
