Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right	Position	START	14.433	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	433	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right	Position	STOP	14.567	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	437	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right cage	Position	START	14.567	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	437	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Foraging	Response	POINT	17.233	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	517	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right	Position	START	24.933	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	748	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right cage	Position	STOP	24.933	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	748	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right	Position	STOP	25.433	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	763	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right	Position	START	48.300	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	1449	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right	Position	STOP	48.767	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	1463	NA	
20241026_trial-9_59187_R	2025-02-17 11:05:19.231		1808.734	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	0.0	1837.933	30.000	59187	Right cage	Position	START	48.767	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241026_trial-9_59187/20241026_trial-9_59187_R.mp4	1463	NA	
